Name,bo:ligand_ligand,bo:ligand_sc,bo:ligand_solvent,cc:ligand_ligand,cc:ligand_mc,cc:ligand_sc,cc:ligand_solvent,hb:ligand_mc,hb:ligand_sc,hb:ligand_solvent,so:ligand_ligand,so:ligand_mc,so:ligand_sc,so:ligand_solvent,wc:ligand_ligand,wc:ligand_mc,wc:ligand_sc,wc:ligand_solvent,Total
res_8-aa.pdb,2,7,2,3,3,6,2,1,3,4,3,2,7,3,2,3,6,3,62
res_9-aa.pdb,2,6,2,3,2,5,4,1,3,6,3,2,6,4,2,2,5,5,63
res_10-aa.pdb,2,7,2,3,3,6,4,1,3,6,3,2,7,5,2,3,6,4,69
res_10-ab.pdb,2,7,2,3,3,6,4,1,3,6,3,2,7,4,2,3,6,5,69
res_11-aa.pdb,2,7,2,3,3,6,5,1,3,7,3,2,7,5,2,3,6,5,72
res_12-aa.pdb,2,6,2,3,7,9,2,6,4,4,3,3,8,3,2,6,9,3,82
res_13-aa.pdb,2,7,2,3,8,10,2,6,4,4,3,3,9,3,2,7,10,3,88
res_14-aa.pdb,2,6,2,3,9,10,2,6,4,4,3,5,9,3,2,8,10,3,91
res_14-ab.pdb,2,6,2,3,7,9,4,6,4,6,3,3,8,5,2,6,9,4,89
res_14-ac.pdb,2,6,2,3,7,9,4,6,4,6,3,3,8,4,2,6,9,5,89
res_15-aa.pdb,2,6,2,3,7,9,5,6,4,7,3,3,8,5,2,6,9,5,92
res_15-ab.pdb,2,7,2,3,10,11,2,6,4,4,3,5,10,3,2,9,11,3,97
res_15-ac.pdb,2,7,2,3,8,10,4,6,4,6,3,3,9,5,2,7,10,4,95
res_15-ad.pdb,2,7,2,3,8,10,4,6,4,6,3,3,9,4,2,7,10,5,95
res_16-aa.pdb,2,7,2,3,8,10,5,6,4,7,3,3,9,5,2,7,10,5,98
res_16-ab.pdb,2,6,2,3,9,10,4,6,4,6,3,5,9,5,2,8,10,4,98
res_16-ac.pdb,2,6,2,3,9,10,4,6,4,6,3,5,9,4,2,8,10,5,98
res_17-aa.pdb,2,6,2,3,9,10,5,6,4,7,3,5,9,5,2,8,10,5,101
res_17-ab.pdb,2,7,2,3,10,11,4,6,4,6,3,5,10,5,2,9,11,4,104
res_17-ac.pdb,2,7,2,3,10,11,4,6,4,6,3,5,10,4,2,9,11,5,104
res_18-aa.pdb,2,7,2,3,10,11,5,6,4,7,3,5,10,5,2,9,11,5,107
res_20-aa.pdb,2,7,2,3,15,14,2,6,5,4,3,5,12,3,2,14,14,3,116
res_21-aa.pdb,2,7,2,3,14,14,2,5,5,4,3,5,13,3,2,16,14,3,117
res_22-aa.pdb,2,7,2,3,15,14,4,6,5,6,3,5,12,5,2,14,14,4,123
res_22-ab.pdb,2,7,2,3,15,14,4,6,5,6,3,5,12,4,2,14,14,5,123
res_23-aa.pdb,2,7,2,3,15,14,5,6,5,7,3,5,12,5,2,14,14,5,126
res_23-ab.pdb,2,7,2,3,14,14,4,5,5,6,3,5,13,5,2,16,14,4,124
res_23-ac.pdb,2,7,2,3,14,14,4,5,5,6,3,5,13,4,2,16,14,5,124
res_24-aa.pdb,2,7,2,3,14,14,5,5,5,7,3,5,13,5,2,16,14,5,127
res_24-ab.pdb,2,7,2,3,15,15,4,6,5,6,3,5,13,4,2,16,15,5,128
res_12-ab.pdb,2,6,2,3,4,10,2,2,8,4,3,2,9,3,2,4,10,3,79
res_13-ab.pdb,2,7,2,3,5,11,2,2,8,4,3,2,10,3,2,5,11,3,85
res_14-ad.pdb,2,6,2,3,4,10,4,2,8,6,3,2,9,5,2,4,10,4,86
res_14-ae.pdb,2,6,2,3,4,10,4,2,8,6,3,2,9,4,2,4,10,5,86
res_15-ae.pdb,2,6,2,3,4,10,5,2,8,7,3,2,9,5,2,4,10,5,89
res_15-af.pdb,2,7,2,3,5,11,4,2,8,6,3,2,10,5,2,5,11,4,92
res_15-ag.pdb,2,7,2,3,5,11,4,2,8,6,3,2,10,4,2,5,11,5,92
res_16-ad.pdb,2,6,2,3,8,13,2,6,8,4,3,3,10,3,2,7,13,3,98
res_16-ae.pdb,2,7,2,3,5,11,5,2,8,7,3,2,10,5,2,5,11,5,95
res_17-ad.pdb,2,7,2,3,9,14,2,6,8,4,3,3,11,3,2,8,14,3,104
res_18-ab.pdb,2,7,2,3,8,16,2,3,6,4,3,3,17,3,2,9,14,3,107
res_18-ac.pdb,2,6,2,3,10,14,2,6,8,4,3,5,11,3,2,9,14,3,107
res_18-ad.pdb,2,6,2,3,8,13,4,6,8,6,3,3,10,5,2,7,13,4,105
res_18-ae.pdb,2,6,2,3,8,13,4,6,8,6,3,3,10,4,2,7,13,5,105
res_19-aa.pdb,2,6,2,3,8,13,5,6,8,7,3,3,10,5,2,7,13,5,108
res_19-ab.pdb,2,7,2,3,11,15,2,6,8,4,3,5,12,3,2,10,15,3,113
res_19-ac.pdb,2,7,2,3,9,14,4,6,8,6,3,3,11,5,2,8,14,4,111
res_19-ad.pdb,2,7,2,3,9,14,4,6,8,6,3,3,11,4,2,8,14,5,111
res_20-ab.pdb,2,7,2,3,9,18,2,3,8,4,3,3,17,3,2,10,16,3,115
res_20-ac.pdb,2,7,2,3,8,16,4,3,6,6,3,3,17,5,2,9,14,4,114
res_20-ad.pdb,2,7,2,3,8,16,4,3,6,6,3,3,17,4,2,9,14,5,114
res_20-ae.pdb,2,7,2,3,9,14,5,6,8,7,3,3,11,5,2,8,14,5,114
res_20-af.pdb,2,6,2,3,10,14,4,6,8,6,3,5,11,5,2,9,14,4,114
res_20-ag.pdb,2,6,2,3,10,14,4,6,8,6,3,5,11,4,2,9,14,5,114
res_21-ab.pdb,2,7,2,3,8,16,5,3,6,7,3,3,17,5,2,9,14,5,117
res_21-ac.pdb,2,7,2,3,11,18,2,6,6,4,3,4,17,3,2,11,16,3,120
res_21-ad.pdb,2,6,2,3,10,14,5,6,8,7,3,5,11,5,2,9,14,5,117
res_21-ae.pdb,2,7,2,3,11,15,4,6,8,6,3,5,12,5,2,10,15,4,120
res_21-af.pdb,2,7,2,3,11,15,4,6,8,6,3,5,12,4,2,10,15,5,120
res_22-ac.pdb,2,7,2,3,12,18,2,6,6,4,3,5,17,3,2,12,16,3,123
res_22-ad.pdb,2,7,2,3,9,18,4,3,8,6,3,3,17,5,2,10,16,4,122
res_22-ae.pdb,2,7,2,3,9,18,4,3,8,6,3,3,17,4,2,10,16,5,122
res_22-af.pdb,2,7,2,3,11,15,5,6,8,7,3,5,12,5,2,10,15,5,123
res_23-ad.pdb,2,7,2,3,15,17,2,6,8,4,3,5,14,3,2,14,17,3,127
res_23-ae.pdb,2,7,2,3,9,18,5,3,8,7,3,3,17,5,2,10,16,5,125
res_23-af.pdb,2,7,2,3,12,20,2,6,8,4,3,4,17,3,2,12,18,3,128
res_23-ag.pdb,2,7,2,3,11,18,4,6,6,6,3,4,17,5,2,11,16,4,127
res_23-ah.pdb,2,7,2,3,11,18,4,6,6,6,3,4,17,4,2,11,16,5,127
res_24-ac.pdb,2,7,2,3,11,21,2,5,8,4,3,3,15,3,2,11,22,3,127
res_24-ad.pdb,2,7,2,3,14,17,2,5,8,4,3,5,15,3,2,16,17,3,128
res_24-ae.pdb,2,7,2,3,11,18,5,6,6,7,3,4,17,5,2,11,16,5,130
res_24-af.pdb,2,7,2,3,13,20,2,6,8,4,3,5,17,3,2,13,18,3,131
res_24-ag.pdb,2,7,2,3,12,18,4,6,6,6,3,5,17,5,2,12,16,4,130
res_24-ah.pdb,2,7,2,3,12,18,4,6,6,6,3,5,17,4,2,12,16,5,130
res_25-aa.pdb,2,7,2,3,11,23,2,5,8,4,3,3,17,3,2,11,21,3,130
res_25-ab.pdb,2,7,2,3,12,21,2,6,8,4,3,4,15,3,2,12,22,3,131
res_25-ac.pdb,2,7,2,3,14,18,2,5,7,4,3,5,17,3,2,16,16,3,129
res_25-ad.pdb,2,7,2,3,15,17,4,6,8,6,3,5,14,5,2,14,17,4,134
res_25-ae.pdb,2,7,2,3,15,17,4,6,8,6,3,5,14,4,2,14,17,5,134
res_25-af.pdb,2,7,2,3,12,18,5,6,6,7,3,5,17,5,2,12,16,5,133
res_25-ag.pdb,2,7,2,3,12,20,4,6,8,6,3,4,17,5,2,12,18,4,135
res_25-ah.pdb,2,7,2,3,12,20,4,6,8,6,3,4,17,4,2,12,18,5,135
res_26-aa.pdb,2,7,2,3,12,23,2,6,8,4,3,4,17,3,2,12,21,3,134
res_26-ab.pdb,2,7,2,3,13,21,2,6,8,4,3,5,15,3,2,13,22,3,134
res_26-ac.pdb,2,7,2,3,11,21,4,5,8,6,3,3,15,5,2,11,22,4,134
res_26-ad.pdb,2,7,2,3,11,21,4,5,8,6,3,3,15,4,2,11,22,5,134
res_26-ae.pdb,2,7,2,3,15,17,5,6,8,7,3,5,14,5,2,14,17,5,137
res_26-af.pdb,2,7,2,3,14,19,2,5,8,4,3,5,17,3,2,16,17,3,132
res_26-ag.pdb,2,7,2,3,14,17,4,5,8,6,3,5,15,5,2,16,17,4,135
res_26-ah.pdb,2,7,2,3,14,17,4,5,8,6,3,5,15,4,2,16,17,5,135
res_26-ai.pdb,2,7,2,3,12,20,5,6,8,7,3,4,17,5,2,12,18,5,138
res_26-aj.pdb,2,7,2,3,13,20,4,6,8,6,3,5,17,5,2,13,18,4,138
res_26-ak.pdb,2,7,2,3,13,20,4,6,8,6,3,5,17,4,2,13,18,5,138
res_27-aa.pdb,2,7,2,3,13,23,2,6,8,4,3,5,17,3,2,13,21,3,137
res_27-ab.pdb,2,7,2,3,11,23,4,5,8,6,3,3,17,5,2,11,21,4,137
res_27-ac.pdb,2,7,2,3,11,23,4,5,8,6,3,3,17,4,2,11,21,5,137
res_27-ad.pdb,2,7,2,3,11,21,5,5,8,7,3,3,15,5,2,11,22,5,137
res_27-ae.pdb,2,7,2,3,15,19,4,6,7,6,3,5,17,4,2,15,17,5,139
res_27-af.pdb,2,7,2,3,14,17,5,5,8,7,3,5,15,5,2,16,17,5,138
res_27-ag.pdb,2,7,2,3,12,21,4,6,8,6,3,4,15,5,2,12,22,4,138
res_27-ah.pdb,2,7,2,3,12,21,4,6,8,6,3,4,15,4,2,12,22,5,138
res_27-ai.pdb,2,7,2,3,14,18,4,5,7,6,3,5,17,5,2,16,16,4,136
res_27-aj.pdb,2,7,2,3,14,18,4,5,7,6,3,5,17,4,2,16,16,5,136
res_27-ak.pdb,2,7,2,3,15,18,4,6,8,6,3,5,15,4,2,16,18,5,139
res_27-al.pdb,2,7,2,3,13,20,5,6,8,7,3,5,17,5,2,13,18,5,141
res_28-aa.pdb,2,7,2,3,15,21,2,6,8,4,3,5,15,3,2,15,22,3,138
res_28-ab.pdb,2,7,2,3,11,23,5,5,8,7,3,3,17,5,2,11,21,5,140
res_28-ac.pdb,2,7,2,3,12,23,4,6,8,6,3,4,17,5,2,12,21,4,141
res_28-ad.pdb,2,7,2,3,12,23,4,6,8,6,3,4,17,4,2,12,21,5,141
res_28-ae.pdb,2,7,2,3,11,23,4,5,8,6,3,3,17,4,2,11,22,5,138
res_28-af.pdb,2,7,2,3,12,21,5,6,8,7,3,4,15,5,2,12,22,5,141
res_28-ag.pdb,2,7,2,3,14,18,5,5,7,7,3,5,17,5,2,16,16,5,139
res_28-ah.pdb,2,7,2,3,13,21,4,6,8,6,3,5,15,5,2,13,22,4,141
res_28-ai.pdb,2,7,2,3,13,21,4,6,8,6,3,5,15,4,2,13,22,5,141
res_28-aj.pdb,2,7,2,3,15,20,4,6,8,6,3,5,17,4,2,15,18,5,142
res_28-ak.pdb,2,7,2,3,15,19,4,6,7,6,3,5,17,4,2,16,17,5,140
res_28-al.pdb,2,7,2,3,14,19,4,5,8,6,3,5,17,5,2,16,17,4,139
res_28-am.pdb,2,7,2,3,14,19,4,5,8,6,3,5,17,4,2,16,17,5,139
res_29-aa.pdb,2,7,2,3,15,23,2,6,8,4,3,5,17,3,2,15,21,3,141
res_29-ab.pdb,2,7,2,3,15,21,2,6,8,4,3,5,15,3,2,16,22,3,139
res_29-ac.pdb,2,7,2,3,12,23,5,6,8,7,3,4,17,5,2,12,21,5,144
res_29-ad.pdb,2,7,2,3,13,23,4,6,8,6,3,5,17,5,2,13,21,4,144
res_29-ae.pdb,2,7,2,3,13,23,4,6,8,6,3,5,17,4,2,13,21,5,144
res_29-af.pdb,2,7,2,3,13,21,5,6,8,7,3,5,15,5,2,13,22,5,144
res_29-ag.pdb,2,7,2,3,12,23,4,6,8,6,3,4,17,4,2,12,22,5,142
res_29-ah.pdb,2,7,2,3,14,19,5,5,8,7,3,5,17,5,2,16,17,5,142
res_29-ai.pdb,2,7,2,3,15,20,4,6,8,6,3,5,17,4,2,16,18,5,143
res_30-aa.pdb,2,7,2,3,15,23,2,6,8,4,3,5,17,3,2,16,21,3,142
res_30-ab.pdb,2,7,2,3,15,21,4,6,8,6,3,5,15,5,2,15,22,4,145
res_30-ac.pdb,2,7,2,3,15,21,4,6,8,6,3,5,15,4,2,15,22,5,145
res_30-ad.pdb,2,7,2,3,13,23,5,6,8,7,3,5,17,5,2,13,21,5,147
res_30-ae.pdb,2,7,2,3,13,23,4,6,8,6,3,5,17,4,2,13,22,5,145
res_31-aa.pdb,2,7,2,3,15,23,4,6,8,6,3,5,17,5,2,15,21,4,148
res_31-ab.pdb,2,7,2,3,15,23,4,6,8,6,3,5,17,4,2,15,21,5,148
res_31-ac.pdb,2,7,2,3,15,21,5,6,8,7,3,5,15,5,2,15,22,5,148
res_31-ad.pdb,2,7,2,3,15,21,4,6,8,6,3,5,15,5,2,16,22,4,146
res_31-ae.pdb,2,7,2,3,15,21,4,6,8,6,3,5,15,4,2,16,22,5,146
res_32-aa.pdb,2,7,2,3,15,23,5,6,8,7,3,5,17,5,2,15,21,5,151
res_32-ab.pdb,2,7,2,3,15,23,4,6,8,6,3,5,17,5,2,16,21,4,149
res_32-ac.pdb,2,7,2,3,15,23,4,6,8,6,3,5,17,4,2,16,21,5,149
res_32-ad.pdb,2,7,2,3,15,21,5,6,8,7,3,5,15,5,2,16,22,5,149
res_32-ae.pdb,2,7,2,3,15,23,4,6,8,6,3,5,17,4,2,15,22,5,149
res_33-aa.pdb,2,7,2,3,15,23,5,6,8,7,3,5,17,5,2,16,21,5,152
res_33-ab.pdb,2,7,2,3,15,23,4,6,8,6,3,5,17,4,2,16,22,5,150
